ID,HTML
16963,<table><tbody><tr><td><table><tbody><tr><td><b class="q4">Helm of Wrath</b><br>Binds when picked up<table width="100%"><tbody><tr><td>Head</td><th>Plate</th></tr></tbody></table>696 Armor<br>+40 Stamina<br>+17 Strength<br>+10 Frost Resistance<br>+10 Shadow Resistance<br>Durability 100 / 100<br>Classes: Warrior<br>Requires Level 60<br></td></tr></tbody></table><table><tbody><tr><td><span class="q2">Equip: <a href="?spell=18185" class="q2">Increased Defense +11.</a></span><br><span class="q"><a href="?itemset=218" class="q">Battlegear of Wrath</a> (0/8)</span><div class="q0 indent"><span><a href="?item=16959">Bracelets of Wrath</a></span><br><span><a href="?item=16966">Breastplate of Wrath</a></span><br><span><a href="?item=16964">Gauntlets of Wrath</a></span><br><span><a href="?item=16963">Helm of Wrath</a></span><br><span><a href="?item=16962">Legplates of Wrath</a></span><br><span><a href="?item=16961">Pauldrons of Wrath</a></span><br><span><a href="?item=16965">Sabatons of Wrath</a></span><br><span><a href="?item=16960">Waistband of Wrath</a></span><br></div><span class="q0"><span class="q0"><span>(3) Set: <a href="?spell=23563">Increases the attack power granted by Battle Shout by 30.</a></span><br><span>(5) Set: <a href="?spell=21890">20% chance after using an offensive ability requiring rage that your next offensive ability requires 50 less rage to use.</a></span><br><span>(8) Set: <a href="?spell=23548">4% chance to parry the next attack after a block.</a></span><br></span></span></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
16947,<table><tbody><tr><td><table><tbody><tr><td><b class="q4">Helmet of Ten Storms</b><br>Binds when picked up<table width="100%"><tbody><tr><td>Head</td><th>Mail</th></tr></tbody></table>392 Armor<br>+24 Intellect<br>+12 Spirit<br>+20 Stamina<br>+10 Frost Resistance<br>+10 Shadow Resistance<br>Durability 85 / 85<br>Classes: Shaman<br>Requires Level 60<br></td></tr></tbody></table><table><tbody><tr><td><span class="q2">Equip: <a href="?spell=18384" class="q2">Improves your chance to get a critical strike with spells by 1%.</a></span><br><span class="q2">Equip: <a href="?spell=9343" class="q2">Increases damage and healing done by magical spells and effects by up to 14.</a></span><br><span class="q2">Equip: <a href="?spell=7680" class="q2">Increases healing done by spells and effects by up to 13.</a></span><br><span class="q"><a href="?itemset=216" class="q">The Ten Storms</a> (0/8)</span><div class="q0 indent"><span><a href="?item=16944">Belt of Ten Storms</a></span><br><span><a href="?item=16943">Bracers of Ten Storms</a></span><br><span><a href="?item=16950">Breastplate of Ten Storms</a></span><br><span><a href="?item=16945">Epaulets of Ten Storms</a></span><br><span><a href="?item=16948">Gauntlets of Ten Storms</a></span><br><span><a href="?item=16949">Greaves of Ten Storms</a></span><br><span><a href="?item=16947">Helmet of Ten Storms</a></span><br><span><a href="?item=16946">Legplates of Ten Storms</a></span><br></div><span class="q0"><span class="q0"><span>(3) Set: <a href="?spell=21899">Increases the amount healed by Chain Heal to targets beyond the first by 30%, and the chain target damage multiplier of your Chain Lightning spell by 10%.</a></span><br><span>(5) Set: <a href="?spell=23570">Improves your chance to get a critical strike with Nature spells by 3%.</a></span><br><span>(8) Set: <a href="?spell=23551">When you cast a Healing Wave or Lesser Healing Wave, there is a 25% chance the target also receives a free Lightning Shield that causes 50 Nature damage to attacker on hit.</a></span><br></span></span></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
16939,<table><tbody><tr><td><table><tbody><tr><td><b class="q4">Dragonstalker's Helm</b><br>Binds when picked up<table width="100%"><tbody><tr><td>Head</td><th>Mail</th></tr></tbody></table>392 Armor<br>+27 Agility<br>+16 Intellect<br>+8 Spirit<br>+26 Stamina<br>+10 Frost Resistance<br>+10 Shadow Resistance<br>Durability 85 / 85<br>Classes: Hunter<br>Requires Level 60<br></td></tr></tbody></table><table><tbody><tr><td><span class="q2">Equip: <a href="?spell=7597" class="q2">Improves your chance to get a critical strike by 1%.</a></span><br><span class="q"><a href="?itemset=215" class="q">Dragonstalker Armor</a> (0/8)</span><div class="q0 indent"><span><a href="?item=16936">Dragonstalker's Belt</a></span><br><span><a href="?item=16935">Dragonstalker's Bracers</a></span><br><span><a href="?item=16942">Dragonstalker's Breastplate</a></span><br><span><a href="?item=16940">Dragonstalker's Gauntlets</a></span><br><span><a href="?item=16941">Dragonstalker's Greaves</a></span><br><span><a href="?item=16939">Dragonstalker's Helm</a></span><br><span><a href="?item=16938">Dragonstalker's Legguards</a></span><br><span><a href="?item=16937">Dragonstalker's Spaulders</a></span><br></div><span class="q0"><span class="q0"><span>(3) Set: <a href="?spell=23559">Increases the Ranged Attack Power bonus of your Aspect of the Hawk by 20% and Melee Attack Power bonus of your Aspect of the Wolf by 20%.</a></span><br><span>(5) Set: <a href="?spell=21928">Increases your pet's stamina by 40 and all spell resistances by 60.</a></span><br><span>(8) Set: <a href="?spell=23578">You have a chance whenever you deal ranged damage to apply an Expose Weakness effect to the target. Expose Weakness increases the Ranged Attack Power of all attackers against that target by 450 for 7 sec.</a></span><br></span></span></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
17068,<table><tbody><tr><td><table><tbody><tr><td><b class="q4">Deathbringer</b><br>Binds when picked up<table width="100%"><tbody><tr><td>One-hand</td><th>Axe</th></tr></tbody></table><table width="100%"><tbody><tr><td>114 - 213  Damage</td><th>Speed 2.90</th></tr></tbody></table>(56.4 damage per second)<br>Durability 105 / 105<br>Requires Level 60<br></td></tr></tbody></table><table><tbody><tr><td><span class="q2">Chance on hit: <a href="?spell=18138" class="q2">Sends a shadowy bolt at the enemy causing 110 to 141 Shadow damage.</a></span><br></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
17067,<table><tbody><tr><td><table><tbody><tr><td><b class="q4">Ancient Cornerstone Grimoire</b><br>Binds when picked up<table width="100%"><tbody><tr><td>Held In Off-Hand</td><th></th></tr></tbody></table>+11 Spirit<br>+15 Intellect<br>+10 Stamina<br>Requires Level 60<br></td></tr></tbody></table><table><tbody><tr><td><span class="q2">Use: <a href="?spell=17490" class="q2">Summons a Skeleton that will protect you for 60 sec.</a></span><br></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
17075,<table><tbody><tr><td><table><tbody><tr><td><b class="q4">Vis'kag the Bloodletter</b><br>Binds when picked up<br>Unique<table width="100%"><tbody><tr><td>One-hand</td><th>Sword</th></tr></tbody></table><table width="100%"><tbody><tr><td>100 - 187  Damage</td><th>Speed 2.60</th></tr></tbody></table>(55.2 damage per second)<br>Durability 105 / 105<br>Requires Level 60<br></td></tr></tbody></table><table><tbody><tr><td><span class="q2">Chance on hit: <a href="?spell=21140" class="q2">Delivers a fatal wound for 240 damage.</a></span><br></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
17966,<table><tbody><tr><td><table><tbody><tr><td><b class="q2">Onyxia Hide Backpack</b><br>Binds when picked up<br>18 Slot Bag<br></td></tr></tbody></table><table><tbody><tr><td></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
16921,<table><tbody><tr><td><table><tbody><tr><td><b class="q4">Halo of Transcendence</b><br>Binds when picked up<table width="100%"><tbody><tr><td>Head</td><th>Cloth</th></tr></tbody></table>94 Armor<br>+27 Intellect<br>+22 Spirit<br>+17 Stamina<br>+10 Fire Resistance<br>+10 Frost Resistance<br>Durability 60 / 60<br>Classes: Priest<br>Requires Level 60<br></td></tr></tbody></table><table><tbody><tr><td><span class="q2">Equip: <a href="?spell=15715" class="q2">Increases damage and healing done by magical spells and effects by up to 25.</a></span><br><span class="q2">Equip: <a href="?spell=9314" class="q2">Increases healing done by spells and effects by up to 24.</a></span><br><span class="q"><a href="?itemset=211" class="q">Vestments of Transcendence</a> (0/8)</span><div class="q0 indent"><span><a href="?item=16925">Belt of Transcendence</a></span><br><span><a href="?item=16926">Bindings of Transcendence</a></span><br><span><a href="?item=16919">Boots of Transcendence</a></span><br><span><a href="?item=16921">Halo of Transcendence</a></span><br><span><a href="?item=16920">Handguards of Transcendence</a></span><br><span><a href="?item=16922">Leggings of Transcendence</a></span><br><span><a href="?item=16924">Pauldrons of Transcendence</a></span><br><span><a href="?item=16923">Robes of Transcendence</a></span><br></div><span class="q0"><span class="q0"><span>(3) Set: <a href="?spell=21894">Allows 15% of your Mana regeneration to continue while casting.</a></span><br><span>(5) Set: <a href="?spell=21853">When struck in melee there is a 50% chance you will Fade for 4 sec.</a></span><br><span>(8) Set: <a href="?spell=22010">Your Greater Heals now have a heal over time component equivalent to a rank 5 Renew.</a></span><br></span></span></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
17962,<table><tbody><tr><td><table><tbody><tr><td><b class="q2">Blue Sack of Gems</b><br></td></tr></tbody></table><table><tbody><tr><td></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
16929,<table><tbody><tr><td><table><tbody><tr><td><b class="q4">Nemesis Skullcap</b><br>Binds when picked up<table width="100%"><tbody><tr><td>Head</td><th>Cloth</th></tr></tbody></table>94 Armor<br>+16 Intellect<br>+26 Stamina<br>+10 Frost Resistance<br>+10 Shadow Resistance<br>Durability 60 / 60<br>Classes: Warlock<br>Requires Level 60<br></td></tr></tbody></table><table><tbody><tr><td><span class="q2">Equip: <a href="?spell=18384" class="q2">Improves your chance to get a critical strike with spells by 1%.</a></span><br><span class="q2">Equip: <a href="?spell=18050" class="q2">Increases damage and healing done by magical spells and effects by up to 33.</a></span><br><span class="q"><a href="?itemset=212" class="q">Nemesis Raiment</a> (0/8)</span><div class="q0 indent"><span><a href="?item=16933">Nemesis Belt</a></span><br><span><a href="?item=16927">Nemesis Boots</a></span><br><span><a href="?item=16934">Nemesis Bracers</a></span><br><span><a href="?item=16928">Nemesis Gloves</a></span><br><span><a href="?item=16930">Nemesis Leggings</a></span><br><span><a href="?item=16931">Nemesis Robes</a></span><br><span><a href="?item=16929">Nemesis Skullcap</a></span><br><span><a href="?item=16932">Nemesis Spaulders</a></span><br></div><span class="q0"><span class="q0"><span>(3) Set: <a href="?spell=14047">Increases damage and healing done by magical spells and effects by up to 23.</a></span><br><span>(5) Set: <a href="?spell=21922">Your pet gains 20 stamina and 130 spell resistance against all schools of magic.</a></span><br><span>(8) Set: <a href="?spell=23555">Reduces the threat generated by your Destruction spells by 20%.</a></span><br></span></span></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
18403,<table><tbody><tr><td><table><tbody><tr><td><b class="q4">Dragonslayer's Signet</b><br>Binds when picked up<table width="100%"><tbody><tr><td>Finger</td><th></th></tr></tbody></table>+8 Intellect<br>+8 Stamina<br>+10 Fire Resistance<br></td></tr></tbody></table><table><tbody><tr><td><span class="q2">Equip: <a href="?spell=18384" class="q2">Improves your chance to get a critical strike with spells by 1%.</a></span><br><span class="q2">Equip: <a href="?spell=9346" class="q2">Increases damage and healing done by magical spells and effects by up to 18.</a></span><br></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
17965,<table><tbody><tr><td><table><tbody><tr><td><b class="q2">Yellow Sack of Gems</b><br></td></tr></tbody></table><table><tbody><tr><td></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
18404,<table><tbody><tr><td><table><tbody><tr><td><b class="q4">Onyxia Tooth Pendant</b><br>Binds when picked up<table width="100%"><tbody><tr><td>Neck</td><th></th></tr></tbody></table>+12 Agility<br>+9 Stamina<br>+10 Fire Resistance<br></td></tr></tbody></table><table><tbody><tr><td><span class="q2">Equip: <a href="?spell=15464" class="q2">Improves your chance to hit by 1%.</a></span><br><span class="q2">Equip: <a href="?spell=7597" class="q2">Improves your chance to get a critical strike by 1%.</a></span><br></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
17078,<table><tbody><tr><td><table><tbody><tr><td><b class="q4">Sapphiron Drape</b><br>Binds when picked up<table width="100%"><tbody><tr><td>Back</td><th>Cloth</th></tr></tbody></table>55 Armor<br>+17 Intellect<br>+10 Stamina<br>+6 Frost Resistance<br>+6 Arcane Resistance<br>Requires Level 60<br></td></tr></tbody></table><table><tbody><tr><td><span class="q2">Equip: <a href="?spell=9343" class="q2">Increases damage and healing done by magical spells and effects by up to 14.</a></span><br></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
16914,<table><tbody><tr><td><table><tbody><tr><td><b class="q4">Netherwind Crown</b><br>Binds when picked up<table width="100%"><tbody><tr><td>Head</td><th>Cloth</th></tr></tbody></table>94 Armor<br>+26 Intellect<br>+11 Spirit<br>+17 Stamina<br>+10 Frost Resistance<br>+10 Shadow Resistance<br>Durability 60 / 60<br>Classes: Mage<br>Requires Level 60<br></td></tr></tbody></table><table><tbody><tr><td><span class="q2">Equip: <a href="?spell=18384" class="q2">Improves your chance to get a critical strike with spells by 1%.</a></span><br><span class="q2">Equip: <a href="?spell=17367" class="q2">Increases damage and healing done by magical spells and effects by up to 32.</a></span><br><span class="q"><a href="?itemset=210" class="q">Netherwind Regalia</a> (0/8)</span><div class="q0 indent"><span><a href="?item=16818">Netherwind Belt</a></span><br><span><a href="?item=16918">Netherwind Bindings</a></span><br><span><a href="?item=16912">Netherwind Boots</a></span><br><span><a href="?item=16914">Netherwind Crown</a></span><br><span><a href="?item=16917">Netherwind Mantle</a></span><br><span><a href="?item=16913">Netherwind Gloves</a></span><br><span><a href="?item=16915">Netherwind Pants</a></span><br><span><a href="?item=16916">Netherwind Robes</a></span><br></div><span class="q0"><span class="q0"><span>(3) Set: <a href="?spell=21879">Reduces the threat generated by your Scorch,  Arcane Missiles, Fireball, and Frostbolt spells.</a></span><br><span>(5) Set: <a href="?spell=23549">Increases the radius of Arcane Explosion, Flamestrike, and Blizzard by 25%.</a></span><br><span>(8) Set: <a href="?spell=22007">10% chance after casting Arcane Missiles, Fireball, or Frostbolt that your next spell with a casting time under 10 seconds cast instantly.</a></span><br></span></span></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
16908,<table><tbody><tr><td><table><tbody><tr><td><b class="q4">Bloodfang Hood</b><br>Binds when picked up<table width="100%"><tbody><tr><td>Head</td><th>Leather</th></tr></tbody></table>183 Armor<br>+27 Agility<br>+25 Stamina<br>+19 Strength<br>+10 Frost Resistance<br>+10 Shadow Resistance<br>Durability 70 / 70<br>Classes: Rogue<br>Requires Level 60<br></td></tr></tbody></table><table><tbody><tr><td><span class="q2">Equip: <a href="?spell=7597" class="q2">Improves your chance to get a critical strike by 1%.</a></span><br><span class="q"><a href="?itemset=213" class="q">Bloodfang Armor</a> (0/8)</span><div class="q0 indent"><span><a href="?item=16910">Bloodfang Belt</a></span><br><span><a href="?item=16906">Bloodfang Boots</a></span><br><span><a href="?item=16911">Bloodfang Bracers</a></span><br><span><a href="?item=16905">Bloodfang Chestpiece</a></span><br><span><a href="?item=16907">Bloodfang Gloves</a></span><br><span><a href="?item=16908">Bloodfang Hood</a></span><br><span><a href="?item=16909">Bloodfang Pants</a></span><br><span><a href="?item=16832">Bloodfang Spaulders</a></span><br></div><span class="q0"><span class="q0"><span>(3) Set: <a href="?spell=21881">Increases the chance to apply poisons to your target by 5%.</a></span><br><span>(5) Set: <a href="?spell=23558">Improves the threat reduction of Feint by 25%.</a></span><br><span>(8) Set: <a href="?spell=23581">Gives the Rogue a chance to inflict 283 to 318 damage on the target and heal the Rogue for 50 health every 1 sec. for 6 sec. on a melee hit.</a></span><br></span></span></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
21108,<table><tbody><tr><td><table><tbody><tr><td><b class="q1">Draconic for Dummies</b><br>Binds when picked up<br>Unique<br></td></tr></tbody></table><table><tbody><tr><td><span class="q">"Chapter VI"</span></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
16955,<table><tbody><tr><td><table><tbody><tr><td><b class="q4">Judgement Crown</b><br>Binds when picked up<table width="100%"><tbody><tr><td>Head</td><th>Plate</th></tr></tbody></table>696 Armor<br>+23 Intellect<br>+12 Agility<br>+18 Stamina<br>+17 Strength<br>+10 Shadow Resistance<br>Durability 100 / 100<br>Classes: Paladin<br>Requires Level 60<br></td></tr></tbody></table><table><tbody><tr><td><span class="q2">Equip: <a href="?spell=17367" class="q2">Increases damage and healing done by magical spells and effects by up to 32.</a></span><br><span class="q"><a href="?itemset=217" class="q">Judgement Armor</a> (0/8)</span><div class="q0 indent"><span><a href="?item=16952">Judgement Belt</a></span><br><span><a href="?item=16951">Judgement Bindings</a></span><br><span><a href="?item=16958">Judgement Breastplate</a></span><br><span><a href="?item=16955">Judgement Crown</a></span><br><span><a href="?item=16956">Judgement Gauntlets</a></span><br><span><a href="?item=16954">Judgement Legplates</a></span><br><span><a href="?item=16957">Judgement Sabatons</a></span><br><span><a href="?item=16953">Judgement Spaulders</a></span><br></div><span class="q0"><span class="q0"><span>(3) Set: <a href="?spell=23565">Increases the radius of a Paladin's auras by 10.</a></span><br><span>(5) Set: <a href="?spell=24196">Increases damage and healing done by magical spells and effects by up to 47.</a></span><br><span>(8) Set: <a href="?spell=23591">Inflicts 60 to 67 additional Holy damage on the target of a Paladin's Judgement.</a></span><br></span></span></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
16907,<table><tbody><tr><td><table><tbody><tr><td><b class="q4">Bloodfang Gloves</b><br>Binds when picked up<table width="100%"><tbody><tr><td>Hands</td><th>Leather</th></tr></tbody></table>140 Armor<br>+20 Agility<br>+20 Stamina<br>+19 Strength<br>+10 Shadow Resistance<br>Durability 40 / 40<br>Classes: Rogue<br>Requires Level 60<br></td></tr></tbody></table><table><tbody><tr><td><span class="q2">Equip: <a href="?spell=7219" class="q2">Immune to Disarm.</a></span><br><span class="q"><a href="?itemset=213" class="q">Bloodfang Armor</a> (0/8)</span><div class="q0 indent"><span><a href="?item=16910">Bloodfang Belt</a></span><br><span><a href="?item=16906">Bloodfang Boots</a></span><br><span><a href="?item=16911">Bloodfang Bracers</a></span><br><span><a href="?item=16905">Bloodfang Chestpiece</a></span><br><span><a href="?item=16907">Bloodfang Gloves</a></span><br><span><a href="?item=16908">Bloodfang Hood</a></span><br><span><a href="?item=16909">Bloodfang Pants</a></span><br><span><a href="?item=16832">Bloodfang Spaulders</a></span><br></div><span class="q0"><span class="q0"><span>(3) Set: <a href="?spell=21881">Increases the chance to apply poisons to your target by 5%.</a></span><br><span>(5) Set: <a href="?spell=23558">Improves the threat reduction of Feint by 25%.</a></span><br><span>(8) Set: <a href="?spell=23581">Gives the Rogue a chance to inflict 283 to 318 damage on the target and heal the Rogue for 50 health every 1 sec. for 6 sec. on a melee hit.</a></span><br></span></span></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
